"original_idx1","original_idx2","celltype1","celltype2"
993,1981,"cd14mono","cd4memoryt"
993,7258,"cd14mono","cd4naivet"
994,5415,"cd14mono","cd16mono"
994,2888,"cd14mono","cd16mono"
995,3096,"nk","b"
996,640,"cd4naivet","cd14mono"
997,779,"nk","cd14mono"
998,2998,"cd4memoryt","cd8t"
998,2721,"cd4memoryt","cd8t"
998,6025,"cd4memoryt","bactivated"
1003,4351,"cd8t","cd14mono"
1003,883,"cd8t","dc"
1004,3621,"cd4naivet","cd14mono"
1004,6607,"cd4naivet","cd14mono"
1004,696,"cd4naivet","cd16mono"
1004,1712,"cd4naivet","cd14mono"
1005,7411,"cd16mono","b"
1007,2984,"b","cd8t"
1008,4485,"dc","cd14mono"
1008,4450,"dc","cd16mono"
1008,4157,"dc","b"
1008,1655,"dc","cd14mono"
1009,3049,"cd4naivet","nk"
1009,3621,"cd4naivet","cd14mono"
1010,1931,"cd14mono","nk"
1010,1261,"cd14mono","b"
1010,5850,"cd14mono","b"
1012,5876,"bactivated","b"
1012,7083,"bactivated","cd4memoryt"
1012,7016,"bactivated","cd16mono"
1013,7373,"cd14mono","cd4naivet"
1013,6683,"cd14mono","cd4memoryt"
1015,2481,"nk","tactivated"
1016,5044,"cd4memoryt","cd14mono"
1016,5918,"cd4memoryt","cd16mono"
1016,3241,"cd4memoryt","cd14mono"
1017,469,"cd8t","cd14mono"
1017,2833,"cd8t","cd14mono"
1017,4014,"cd8t","tactivated"
1018,3049,"tactivated","nk"
1018,3376,"tactivated","cd14mono"
1018,2676,"tactivated","cd14mono"
1019,4674,"cd4memoryt","cd14mono"
1020,3437,"cd16mono","b"
1020,4041,"cd16mono","cd4naivet"
1020,5004,"cd16mono","cd8t"
1022,6793,"tactivated","cd14mono"
1022,1640,"tactivated","cd14mono"
1023,7202,"cd14mono","cd4memoryt"
1025,6930,"nk","cd14mono"
1025,5824,"nk","tactivated"
1025,4213,"nk","cd14mono"
1026,5145,"bactivated","cd14mono"
1026,4265,"bactivated","cd14mono"
1027,1,"cd8t","cd14mono"
1027,1483,"cd8t","cd16mono"
1027,2654,"cd8t","cd4naivet"
1029,174,"cd14mono","cd4memoryt"
1030,6824,"cd4memoryt","cd14mono"
1030,1362,"cd4memoryt","cd4naivet"
1032,5169,"cd8t","cd14mono"
1032,3245,"cd8t","cd14mono"
1032,2562,"cd8t","tactivated"
1033,4162,"cd14mono","cd16mono"
1033,6550,"cd14mono","pdc"
1033,1288,"cd14mono","cd16mono"
1034,4413,"nk","cd4memoryt"
1034,737,"nk","cd14mono"
1034,3369,"nk","cd14mono"
1034,5714,"nk","cd14mono"
1036,6457,"cd8t","cd4memoryt"
1037,3343,"b","nk"
1038,3518,"cd14mono","cd4naivet"
1038,7264,"cd14mono","cd4naivet"
1039,6789,"cd4memoryt","tactivated"
1042,5270,"cd14mono","b"
1042,1261,"cd14mono","b"
1045,7004,"cd14mono","mk"
1045,5049,"cd14mono","cd4naivet"
1046,1398,"cd4memoryt","dc"
1046,5587,"cd4memoryt","cd14mono"
1046,2686,"cd4memoryt","cd4naivet"
1046,6627,"cd4memoryt","cd4naivet"
1047,6531,"cd4naivet","cd8t"
1048,3027,"cd14mono","cd4memoryt"
1049,614,"cd14mono","cd4memoryt"
1050,1362,"cd4memoryt","cd4naivet"
1050,4836,"cd4memoryt","cd4naivet"
1050,5059,"cd4memoryt","cd14mono"
1050,2354,"cd4memoryt","nk"
1051,7372,"cd4naivet","cd16mono"
1051,3692,"cd4naivet","cd16mono"
1051,2553,"cd4naivet","b"
1053,4610,"cd4naivet","cd14mono"
1053,5268,"cd4naivet","b"
1053,5976,"cd4naivet","cd14mono"
1053,4484,"cd4naivet","nk"
1054,3950,"cd4memoryt","cd4naivet"
1054,2792,"cd4memoryt","cd4naivet"
1056,1582,"cd8t","dc"
1056,5819,"cd8t","cd4naivet"
1056,873,"cd8t","cd14mono"
1057,5359,"cd4memoryt","cd14mono"
1057,6778,"cd4memoryt","b"
1057,1201,"cd4memoryt","cd4naivet"
1059,2222,"cd4memoryt","cd14mono"
1059,3484,"cd4memoryt","cd16mono"
1060,4609,"cd4naivet","cd16mono"
1061,4118,"cd16mono","cd14mono"
1061,5339,"cd16mono","cd14mono"
1062,5000,"nk","bactivated"
1062,5779,"nk","cd4memoryt"
1062,1928,"nk","cd14mono"
1062,4743,"nk","cd4memoryt"
1063,4048,"cd14mono","cd16mono"
1064,5497,"cd4memoryt","cd4naivet"
1067,1471,"cd8t","cd4memoryt"
1067,2444,"cd8t","cd14mono"
1067,568,"cd8t","eryth"
1069,3962,"b","cd14mono"
1070,1142,"nk","cd14mono"
1071,4750,"cd8t","cd16mono"
1071,2599,"cd8t","b"
1071,6205,"cd8t","dc"
1071,1523,"cd8t","cd14mono"
1071,2453,"cd8t","cd14mono"
1072,4099,"cd4memoryt","cd16mono"
1072,6662,"cd4memoryt","cd4naivet"
1073,5949,"cd4naivet","dc"
1073,5516,"cd4naivet","cd4memoryt"
1073,6144,"cd4naivet","b"
1073,1832,"cd4naivet","tactivated"
1074,5196,"cd14mono","bactivated"
1074,6978,"cd14mono","b"
1074,2095,"cd14mono","bactivated"
1074,870,"cd14mono","cd4naivet"
1075,3454,"cd16mono","cd4memoryt"
1076,647,"cd14mono","cd16mono"
1076,6126,"cd14mono","tactivated"
1077,53,"cd14mono","cd4naivet"
1077,3589,"cd14mono","cd4naivet"
1078,3865,"cd4memoryt","cd8t"
1078,2756,"cd4memoryt","cd16mono"
1079,5025,"cd4naivet","cd14mono"
1079,6144,"cd4naivet","b"
1079,3020,"cd4naivet","cd16mono"
1081,625,"cd14mono","cd4memoryt"
1083,2615,"eryth","cd4naivet"
1083,6980,"eryth","cd14mono"
1085,4322,"cd14mono","cd16mono"
1085,3115,"cd14mono","tactivated"
1085,4208,"cd14mono","dc"
1085,4012,"cd14mono","cd4memoryt"
1086,4270,"cd4naivet","cd4memoryt"
1086,6488,"cd4naivet","b"
1086,5121,"cd4naivet","cd16mono"
1087,6742,"cd4naivet","cd8t"
1087,553,"cd4naivet","dc"
1087,2265,"cd4naivet","cd4memoryt"
1088,1036,"cd16mono","cd8t"
1088,3142,"cd16mono","nk"
1088,1364,"cd16mono","dc"
1089,2940,"cd14mono","cd4naivet"
1089,5887,"cd14mono","cd4memoryt"
1090,6593,"cd16mono","cd14mono"
1090,5676,"cd16mono","cd4naivet"
1091,7120,"cd14mono","cd4memoryt"
1091,447,"cd14mono","tactivated"
1092,702,"cd4naivet","cd14mono"
1092,5713,"cd4naivet","cd14mono"
1092,5355,"cd4naivet","cd4memoryt"
1094,5328,"b","cd14mono"
1095,5249,"cd4naivet","b"
1095,4222,"cd4naivet","cd16mono"
1097,3190,"eryth","cd4memoryt"
1099,1613,"cd4naivet","mk"
1099,1879,"cd4naivet","cd14mono"
1100,6385,"cd14mono","cd4memoryt"
1100,7234,"cd14mono","nk"
1101,1564,"cd14mono","cd8t"
1101,8,"cd14mono","cd4naivet"
1102,7089,"cd4memoryt","cd14mono"
1104,5585,"cd14mono","dc"
1104,1012,"cd14mono","bactivated"
1104,3199,"cd14mono","tactivated"
1105,5820,"cd16mono","bactivated"
1105,4037,"cd16mono","b"
1106,5441,"cd8t","cd4naivet"
1106,5321,"cd8t","cd14mono"
1106,1523,"cd8t","cd14mono"
1107,6979,"cd4memoryt","dc"
1107,5989,"cd4memoryt","tactivated"
1107,2827,"cd4memoryt","b"
1108,6622,"cd14mono","dc"
1108,3954,"cd14mono","tactivated"
1108,2899,"cd14mono","cd4memoryt"
1110,6143,"cd4memoryt","cd14mono"
1110,6050,"cd4memoryt","cd16mono"
1110,2567,"cd4memoryt","cd4naivet"
1112,1254,"cd4naivet","cd4memoryt"
1112,5189,"cd4naivet","cd16mono"
1113,5175,"bactivated","cd4naivet"
1113,1610,"bactivated","cd4naivet"
1114,3926,"cd4naivet","tactivated"
1114,2054,"cd4naivet","cd14mono"
1114,897,"cd4naivet","cd14mono"
1114,1673,"cd4naivet","cd4memoryt"
1115,6698,"cd8t","cd14mono"
1115,7301,"cd8t","cd14mono"
1117,2271,"cd4memoryt","cd14mono"
1117,5495,"cd4memoryt","mk"
1117,5918,"cd4memoryt","cd16mono"
1117,3538,"cd4memoryt","cd14mono"
1119,4399,"cd14mono","cd4naivet"
1120,1662,"cd14mono","b"
1120,5335,"cd14mono","cd4memoryt"
1120,6686,"cd14mono","cd4memoryt"
1121,4996,"cd14mono","nk"
1122,4305,"cd4naivet","cd16mono"
1122,7072,"cd4naivet","cd16mono"
1122,2647,"cd4naivet","cd14mono"
1124,5351,"cd14mono","cd4memoryt"
1124,4909,"cd14mono","tactivated"
1124,5910,"cd14mono","cd8t"
1125,3323,"cd16mono","cd4memoryt"
1126,3670,"cd14mono","cd4memoryt"
1127,3281,"cd16mono","mk"
1127,2455,"cd16mono","cd4naivet"
1127,856,"cd16mono","tactivated"
1128,6486,"cd4naivet","cd14mono"
1128,2008,"cd4naivet","tactivated"
1130,6773,"cd16mono","cd14mono"
1131,6191,"cd4naivet","cd14mono"
1131,5387,"cd4naivet","cd4memoryt"
1131,6147,"cd4naivet","tactivated"
1131,121,"cd4naivet","pdc"
1133,2562,"cd8t","tactivated"
1133,6366,"cd8t","tactivated"
1134,6046,"cd4naivet","cd4memoryt"
1134,6944,"cd4naivet","cd4memoryt"
1135,2693,"cd4naivet","cd4memoryt"
1135,3193,"cd4naivet","cd14mono"
1136,1285,"b","cd4naivet"
1136,6183,"b","nk"
1137,693,"cd14mono","cd4naivet"
1138,3234,"cd8t","cd14mono"
1138,1111,"cd8t","cd14mono"
1138,6969,"cd8t","cd14mono"
1139,4494,"tactivated","cd4naivet"
1139,788,"tactivated","cd4naivet"
1140,607,"cd8t","cd14mono"
1140,5502,"cd8t","cd4memoryt"
1141,5228,"cd14mono","cd16mono"
1141,6264,"cd14mono","cd16mono"
1142,6686,"cd14mono","cd4memoryt"
1142,3277,"cd14mono","b"
1142,4352,"cd14mono","cd4naivet"
1143,2532,"mk","dc"
1143,5211,"mk","cd14mono"
1144,2721,"cd4memoryt","cd8t"
1144,3094,"cd4memoryt","cd4naivet"
1144,6748,"cd4memoryt","cd14mono"
1144,3270,"cd4memoryt","cd4naivet"
1145,1299,"cd8t","cd14mono"
1145,1811,"cd8t","cd4naivet"
1145,483,"cd8t","cd4naivet"
1145,4850,"cd8t","mk"
1145,2534,"cd8t","cd14mono"
1147,6857,"cd4naivet","cd16mono"
1147,5574,"cd4naivet","cd14mono"
1147,93,"cd4naivet","cd14mono"
1148,2357,"cd8t","cd14mono"
1149,451,"cd4memoryt","tactivated"
1149,1473,"cd4memoryt","cd8t"
1149,975,"cd4memoryt","cd14mono"
1149,6729,"cd4memoryt","nk"
1149,5748,"cd4memoryt","cd14mono"
1150,6794,"cd16mono","tactivated"
1150,5330,"cd16mono","cd8t"
1150,4767,"cd16mono","cd14mono"
1151,878,"cd4naivet","cd8t"
1152,4050,"dc","cd4naivet"
1152,60,"dc","cd16mono"
1152,818,"dc","tactivated"
1153,5606,"nk","cd4naivet"
1154,5667,"tactivated","dc"
1154,3662,"tactivated","cd14mono"
1156,4783,"cd4memoryt","cd16mono"
1156,6734,"cd4memoryt","cd14mono"
1157,6819,"cd14mono","b"
1158,2282,"nk","b"
1158,2195,"nk","cd14mono"
1158,65,"nk","cd16mono"
1158,5714,"nk","cd14mono"
1159,4424,"cd16mono","dc"
1159,5155,"cd16mono","b"
1159,5330,"cd16mono","cd8t"
1159,3121,"cd16mono","cd4memoryt"
1161,5412,"cd4memoryt","cd14mono"
1161,1329,"cd4memoryt","cd14mono"
1161,7014,"cd4memoryt","cd14mono"
1161,4830,"cd4memoryt","cd4naivet"
1162,3592,"cd4naivet","cd14mono"
1162,6823,"cd4naivet","cd14mono"
1162,333,"cd4naivet","tactivated"
1163,1191,"b","eryth"
1163,3993,"b","cd14mono"
1163,3864,"b","cd14mono"
1163,2425,"b","cd4naivet"
1164,5680,"cd16mono","cd14mono"
1164,4770,"cd16mono","cd4naivet"
1164,6293,"cd16mono","tactivated"
1164,254,"cd16mono","nk"
1165,2774,"tactivated","cd8t"
1165,1779,"tactivated","cd4memoryt"
1167,1926,"dc","cd4memoryt"
1167,6529,"dc","cd14mono"
1167,6181,"dc","tactivated"
1167,7159,"dc","nk"
1168,5248,"cd14mono","cd4memoryt"
1169,654,"cd4memoryt","b"
1169,5869,"cd4memoryt","cd4naivet"
1170,3898,"cd4naivet","cd4memoryt"
1170,5574,"cd4naivet","cd14mono"
1170,3233,"cd4naivet","dc"
1170,3998,"cd4naivet","b"
1170,1498,"cd4naivet","cd14mono"
1171,2125,"cd16mono","cd4memoryt"
1171,5063,"cd16mono","cd14mono"
1171,157,"cd16mono","b"
1171,894,"cd16mono","cd14mono"
1172,3320,"b","cd4memoryt"
1172,819,"b","nk"
1172,526,"b","cd14mono"
1173,6744,"bactivated","tactivated"
1173,5631,"bactivated","cd14mono"
1173,5400,"bactivated","cd4naivet"
1173,977,"bactivated","cd16mono"
1174,4157,"dc","b"
1174,3044,"dc","cd16mono"
1174,465,"dc","cd14mono"
1175,6133,"cd4naivet","cd14mono"
1175,6835,"cd4naivet","cd14mono"
1175,2363,"cd4naivet","nk"
1176,6633,"b","dc"
1176,1420,"b","cd14mono"
1177,267,"cd14mono","b"
1177,2401,"cd14mono","cd4memoryt"
1180,5718,"cd4memoryt","cd14mono"
1180,7338,"cd4memoryt","cd8t"
1181,3291,"bactivated","cd14mono"
1181,5391,"bactivated","cd14mono"
1182,3420,"cd14mono","cd4memoryt"
1182,2560,"cd14mono","cd4naivet"
1183,3936,"bactivated","cd4naivet"
1183,679,"bactivated","cd14mono"
1184,6760,"b","cd4naivet"
1185,4978,"cd14mono","b"
1185,2819,"cd14mono","nk"
1187,5177,"cd4memoryt","cd14mono"
1187,4616,"cd4memoryt","cd4naivet"
1188,6669,"cd4memoryt","cd4naivet"
1189,6731,"cd4memoryt","cd14mono"
1192,3793,"cd4naivet","cd14mono"
1193,7142,"cd14mono","cd4naivet"
1194,872,"cd4memoryt","cd16mono"
1194,1620,"cd4memoryt","cd16mono"
1196,1296,"cd14mono","tactivated"
1196,3518,"cd14mono","cd4naivet"
1196,3632,"cd14mono","cd8t"
1196,5911,"cd14mono","dc"
1196,5744,"cd14mono","mk"
1197,7160,"tactivated","dc"
1197,5451,"tactivated","cd16mono"
1198,6516,"bactivated","b"
1198,5040,"bactivated","cd4naivet"
1199,1760,"cd14mono","tactivated"
1199,7234,"cd14mono","nk"
1199,917,"cd14mono","bactivated"
1199,2208,"cd14mono","cd4naivet"
1200,4607,"cd16mono","cd4naivet"
1201,7238,"cd4naivet","cd14mono"
1201,3007,"cd4naivet","cd4memoryt"
1201,133,"cd4naivet","cd4memoryt"
1201,6861,"cd4naivet","tactivated"
1202,5348,"cd14mono","cd4naivet"
1202,6680,"cd14mono","cd16mono"
1203,5016,"eryth","tactivated"
1203,1132,"eryth","cd4memoryt"
1203,3625,"eryth","nk"
1203,6980,"eryth","cd14mono"
1206,4354,"nk","cd8t"
1207,6969,"cd8t","cd14mono"
1207,2562,"cd8t","tactivated"
1207,2955,"cd8t","nk"
1208,6122,"cd4memoryt","cd14mono"
1210,5226,"cd8t","cd4memoryt"
1210,3484,"cd8t","cd16mono"
1210,1259,"cd8t","nk"
1210,4351,"cd8t","cd14mono"
1211,4857,"cd14mono","mk"
1211,6042,"cd14mono","cd4memoryt"
1211,7350,"cd14mono","cd4naivet"
1212,5816,"cd16mono","bactivated"
1213,4096,"cd14mono","tactivated"
1213,2680,"cd14mono","nk"
1214,6008,"cd4memoryt","cd4naivet"
1215,1550,"cd4naivet","tactivated"
1215,5593,"cd4naivet","cd8t"
1215,5785,"cd4naivet","cd14mono"
1216,2888,"dc","cd16mono"
1216,2869,"dc","cd8t"
1216,1655,"dc","cd14mono"
1217,4504,"bactivated","cd4memoryt"
1217,2861,"bactivated","cd16mono"
1219,7244,"nk","cd4naivet"
1220,346,"cd8t","cd4naivet"
1220,6185,"cd8t","nk"
1220,6650,"cd8t","b"
1220,5215,"cd8t","mk"
1221,2520,"cd16mono","cd4memoryt"
1222,254,"cd16mono","nk"
1222,2761,"cd16mono","cd14mono"
1222,6880,"cd16mono","cd14mono"
1223,2631,"cd4memoryt","cd14mono"
1223,5217,"cd4memoryt","b"
1223,5713,"cd4memoryt","cd14mono"
1224,3411,"cd14mono","cd16mono"
1226,6169,"cd4memoryt","b"
1226,2293,"cd4memoryt","cd14mono"
1226,6600,"cd4memoryt","cd4naivet"
1227,2399,"cd4memoryt","cd14mono"
1227,5120,"cd4memoryt","tactivated"
1227,5636,"cd4memoryt","cd4naivet"
1228,4263,"dc","cd14mono"
1228,1710,"dc","cd4memoryt"
1229,3640,"b","cd14mono"
1229,7409,"b","cd8t"
1229,5489,"b","bactivated"
1234,2686,"cd4memoryt","cd4naivet"
1235,1531,"tactivated","cd4naivet"
1235,788,"tactivated","cd4naivet"
1235,5318,"tactivated","mk"
1235,4337,"tactivated","cd14mono"
1236,5200,"tactivated","cd4naivet"
1238,6190,"cd16mono","cd4memoryt"
1238,1335,"cd16mono","cd4naivet"
1238,2388,"cd16mono","cd14mono"
1239,4145,"cd4memoryt","cd14mono"
1239,5786,"cd4memoryt","cd4naivet"
1239,1715,"cd4memoryt","cd14mono"
1239,6729,"cd4memoryt","nk"
1240,585,"cd4memoryt","cd14mono"
1240,5659,"cd4memoryt","cd14mono"
1240,6095,"cd4memoryt","cd14mono"
1242,6918,"cd14mono","cd16mono"
1242,1320,"cd14mono","nk"
1242,1129,"cd14mono","cd4naivet"
1243,5700,"dc","cd8t"
1243,2037,"dc","cd4naivet"
1243,4167,"dc","cd14mono"
1244,5536,"cd16mono","cd4memoryt"
1244,4699,"cd16mono","cd4memoryt"
1244,2278,"cd16mono","cd4naivet"
1244,4078,"cd16mono","eryth"
1245,5078,"tactivated","cd16mono"
1245,6515,"tactivated","cd14mono"
1245,4536,"tactivated","cd14mono"
1246,1348,"cd8t","cd4naivet"
1246,568,"cd8t","eryth"
1246,6919,"cd8t","cd16mono"
1246,1167,"cd8t","dc"
1246,5784,"cd8t","b"
1247,110,"cd4naivet","cd16mono"
1247,2820,"cd4naivet","cd8t"
1247,1806,"cd4naivet","cd14mono"
1248,4392,"tactivated","cd14mono"
1248,6195,"tactivated","cd4naivet"
1248,3758,"tactivated","cd4memoryt"
1248,4886,"tactivated","cd14mono"
1248,7100,"tactivated","cd4naivet"
1249,6762,"cd4memoryt","b"
1249,1777,"cd4memoryt","cd14mono"
1249,6409,"cd4memoryt","cd16mono"
1249,605,"cd4memoryt","cd4naivet"
1250,696,"tactivated","cd16mono"
1251,5177,"cd4memoryt","cd14mono"
1251,281,"cd4memoryt","cd14mono"
1251,5325,"cd4memoryt","cd4naivet"
1253,1775,"cd4naivet","cd14mono"
1253,6659,"cd4naivet","cd14mono"
1253,172,"cd4naivet","cd8t"
1255,1925,"cd4memoryt","cd14mono"
1255,212,"cd4memoryt","cd4naivet"
1255,4149,"cd4memoryt","cd14mono"
1256,580,"cd14mono","cd4naivet"
1256,3997,"cd14mono","cd4naivet"
1257,2301,"cd14mono","cd8t"
1257,4647,"cd14mono","tactivated"
1258,5898,"b","cd14mono"
1259,5241,"nk","cd4naivet"
1259,5058,"nk","cd14mono"
1261,5218,"b","cd14mono"
1262,2851,"cd4memoryt","cd14mono"
1262,2686,"cd4memoryt","cd4naivet"
1262,329,"cd4memoryt","cd14mono"
1263,6194,"cd4naivet","cd14mono"
1264,701,"cd14mono","bactivated"
1264,5694,"cd14mono","cd4naivet"
1265,2920,"cd4memoryt","cd14mono"
1265,3516,"cd4memoryt","tactivated"
1265,4282,"cd4memoryt","cd14mono"
1265,6452,"cd4memoryt","cd14mono"
1266,2297,"dc","bactivated"
1269,2371,"nk","cd14mono"
1270,6946,"cd14mono","tactivated"
1270,5770,"cd14mono","bactivated"
1271,3326,"cd8t","nk"
1271,2795,"cd8t","cd14mono"
1271,680,"cd8t","tactivated"
1272,1303,"mk","cd4memoryt"
1272,4644,"mk","cd14mono"
1272,321,"mk","cd14mono"
1273,1115,"cd4memoryt","cd8t"
1274,5415,"cd14mono","cd16mono"
1276,387,"cd4naivet","cd4memoryt"
1276,569,"cd4naivet","cd14mono"
1276,3937,"cd4naivet","tactivated"
1276,2989,"cd4naivet","dc"
1276,4210,"cd4naivet","cd16mono"
1277,83,"cd14mono","cd16mono"
1277,4816,"cd14mono","b"
1277,5348,"cd14mono","cd4naivet"
1279,1813,"cd16mono","cd4naivet"
1279,2370,"cd16mono","cd4memoryt"
1279,371,"cd16mono","cd14mono"
1279,6848,"cd16mono","cd8t"
1279,6500,"cd16mono","cd4naivet"
1280,7409,"b","cd8t"
1280,5410,"b","cd14mono"
1280,5381,"b","cd14mono"
1286,2558,"dc","cd4naivet"
1286,5413,"dc","cd14mono"
1286,2462,"dc","cd4naivet"
1287,1538,"dc","b"
1287,1936,"dc","cd14mono"
1287,5511,"dc","cd14mono"
1287,5413,"dc","cd14mono"
1288,3610,"cd16mono","cd14mono"
1288,3738,"cd16mono","b"
1289,524,"cd16mono","dc"
1289,7432,"cd16mono","dc"
1290,397,"cd4naivet","cd14mono"
1290,3184,"cd4naivet","b"
1291,1832,"cd4memoryt","tactivated"
1291,5250,"cd4memoryt","cd14mono"
1292,611,"nk","cd14mono"
1292,2145,"nk","cd14mono"
1292,2066,"nk","cd14mono"
1293,6173,"cd4naivet","bactivated"
1295,3413,"b","bactivated"
1295,3813,"b","cd4naivet"
1296,5930,"tactivated","cd4memoryt"
1297,2672,"cd4memoryt","cd8t"
1297,1786,"cd4memoryt","cd16mono"
1299,3941,"cd14mono","cd4naivet"
1300,6714,"nk","cd8t"
1300,6697,"nk","cd14mono"
1300,2066,"nk","cd14mono"
1300,1912,"nk","cd14mono"
1300,317,"nk","cd16mono"
1302,721,"cd4naivet","cd4memoryt"
1303,3271,"cd4memoryt","cd16mono"
1304,489,"cd14mono","dc"
1304,701,"cd14mono","bactivated"
1304,5369,"cd14mono","mk"
1306,4499,"cd4naivet","cd4memoryt"
1306,6106,"cd4naivet","cd16mono"
1307,1028,"cd4naivet","cd14mono"
1308,3015,"cd4memoryt","cd4naivet"
1308,5066,"cd4memoryt","cd14mono"
1310,6030,"tactivated","cd4naivet"
1310,4995,"tactivated","b"
1311,3388,"dc","cd14mono"
1312,487,"cd4memoryt","cd14mono"
1312,6958,"cd4memoryt","cd8t"
1312,286,"cd4memoryt","cd4naivet"
1313,5613,"cd14mono","cd16mono"
1313,5284,"cd14mono","dc"
1313,2912,"cd14mono","cd4memoryt"
1314,2686,"cd4memoryt","cd4naivet"
1314,1120,"cd4memoryt","cd14mono"
1314,5041,"cd4memoryt","cd4naivet"
1315,1392,"cd14mono","nk"
1315,6410,"cd14mono","cd16mono"
1316,3246,"cd4memoryt","cd14mono"
1317,288,"cd14mono","mk"
1320,2575,"nk","cd4naivet"
1320,5246,"nk","b"
1321,2752,"cd4memoryt","cd14mono"
1321,7405,"cd4memoryt","cd14mono"
1322,4531,"cd14mono","tactivated"
1322,1954,"cd14mono","cd4memoryt"
1322,6124,"cd14mono","cd16mono"
1322,3195,"cd14mono","b"
1322,353,"cd14mono","cd4memoryt"
1324,128,"cd14mono","cd4memoryt"
1324,2212,"cd14mono","cd16mono"
1324,2945,"cd14mono","cd4naivet"
1325,1999,"nk","tactivated"
1326,5183,"cd14mono","cd4naivet"
1327,1585,"bactivated","cd14mono"
1327,7168,"bactivated","cd14mono"
1327,1671,"bactivated","cd4naivet"
1327,3772,"bactivated","b"
1328,2124,"cd4memoryt","bactivated"
1328,5176,"cd4memoryt","cd14mono"
1330,6177,"cd4memoryt","cd4naivet"
1330,2991,"cd4memoryt","cd14mono"
1330,1867,"cd4memoryt","tactivated"
1331,6314,"cd14mono","cd4naivet"
1331,3619,"cd14mono","tactivated"
1331,555,"cd14mono","cd4naivet"
1332,1217,"cd4naivet","bactivated"
1332,1415,"cd4naivet","b"
1334,3774,"cd4naivet","cd4memoryt"
1335,1391,"cd4naivet","cd14mono"
1335,397,"cd4naivet","cd14mono"
1335,2117,"cd4naivet","cd14mono"
1336,5369,"cd14mono","mk"
1336,2641,"cd14mono","mk"
1336,433,"cd14mono","b"
1336,1760,"cd14mono","tactivated"
1337,4444,"cd4naivet","cd14mono"
1337,750,"cd4naivet","cd16mono"
1339,6454,"dc","cd4naivet"
1339,3809,"dc","tactivated"
1339,2916,"dc","cd14mono"
1340,374,"cd4naivet","cd14mono"
1340,5042,"cd4naivet","cd14mono"
1342,2181,"cd14mono","tactivated"
1343,5408,"nk","cd4memoryt"
1343,1169,"nk","cd4memoryt"
1343,6730,"nk","cd4memoryt"
1343,5239,"nk","cd16mono"
1345,1366,"cd14mono","dc"
1345,4352,"cd14mono","cd4naivet"
1345,6327,"cd14mono","cd4naivet"
1346,5475,"cd4naivet","dc"
1347,6459,"b","cd14mono"
1347,7333,"b","nk"
1347,4269,"b","bactivated"
1348,2579,"cd4naivet","cd14mono"
1348,4372,"cd4naivet","cd8t"
1348,1881,"cd4naivet","cd8t"
1348,4881,"cd4naivet","eryth"
1350,7230,"cd4memoryt","cd4naivet"
1350,572,"cd4memoryt","cd16mono"
1350,5453,"cd4memoryt","cd14mono"
1351,1688,"cd4naivet","cd14mono"
1352,5450,"b","cd14mono"
1353,3207,"cd14mono","b"
1354,3944,"nk","cd16mono"
1354,3500,"nk","dc"
1355,6148,"cd4memoryt","cd14mono"
1355,5319,"cd4memoryt","cd4naivet"
1355,3378,"cd4memoryt","b"
1356,6116,"cd16mono","cd14mono"
1358,972,"cd14mono","cd4memoryt"
1360,3542,"cd14mono","cd16mono"
1360,5022,"cd14mono","cd16mono"
1360,5356,"cd14mono","dc"
1362,5652,"cd4naivet","cd4memoryt"
1362,4161,"cd4naivet","cd14mono"
1362,6984,"cd4naivet","cd14mono"
1363,3984,"cd8t","cd4memoryt"
1363,1128,"cd8t","cd4naivet"
1363,3978,"cd8t","cd4memoryt"
1364,3185,"dc","cd4naivet"
1365,6308,"cd4memoryt","cd4naivet"
1366,612,"dc","cd16mono"
1366,5317,"dc","cd14mono"
1367,4008,"cd4memoryt","mk"
1368,57,"cd4memoryt","cd14mono"
1368,3426,"cd4memoryt","nk"
1369,4180,"nk","cd14mono"
1369,6473,"nk","cd4naivet"
1369,6725,"nk","cd14mono"
1369,4190,"nk","cd4naivet"
1370,4130,"pdc","cd14mono"
1370,155,"pdc","cd4naivet"
1370,4534,"pdc","cd14mono"
1372,1357,"cd14mono","tactivated"
1372,4481,"cd14mono","cd4memoryt"
1372,5738,"cd14mono","cd4naivet"
1373,2807,"bactivated","cd4naivet"
1373,3272,"bactivated","cd14mono"
1376,4087,"cd16mono","cd4naivet"
1376,1510,"cd16mono","b"
1376,2291,"cd16mono","tactivated"
1376,66,"cd16mono","cd8t"
1376,784,"cd16mono","cd4naivet"
1377,5135,"cd4naivet","cd14mono"
1377,6552,"cd4naivet","b"
1378,3213,"nk","cd4memoryt"
1378,317,"nk","cd16mono"
1378,6714,"nk","cd8t"
1379,3911,"cd8t","nk"
1379,269,"cd8t","mk"
1379,3289,"cd8t","cd14mono"
1379,2654,"cd8t","cd4naivet"
1379,5784,"cd8t","b"
1380,6655,"cd4naivet","bactivated"
1380,3656,"cd4naivet","b"
1381,61,"cd16mono","cd14mono"
1381,3885,"cd16mono","cd14mono"
1382,5694,"cd14mono","cd4naivet"
1382,2948,"cd14mono","cd4naivet"
1382,6763,"cd14mono","tactivated"
1383,1173,"cd4memoryt","bactivated"
1383,1138,"cd4memoryt","cd8t"
1384,1332,"cd4memoryt","cd4naivet"
1384,4935,"cd4memoryt","cd16mono"
1385,5390,"cd14mono","dc"
